name,firm_type,countries,check_size,stages,lead_status,thesis,value_add,typical_terms,reply_rate,profile_url,source_category
First In Ventures,VC firm,"UK, USA",$50k to $200k,"2. Prototype, 3. Early Revenue",Sometimes,We invest in biotechnology companies.,,,,https://www.openvc.app/fund/First%20In%20Ventures,venture-capital-firms
ANIMO Ventures,VC firm,"Canada, USA",$500k to $2M,"2. Prototype, 3. Early Revenue",Sometimes,"We invest in early-stage companies, including fintech.",,,,https://www.openvc.app/fund/ANIMO%20Ventures,venture-capital-firms
Transition VC,VC firm,India,$250k to $2M,"2. Prototype, 3. Early Revenue",Always,"We invest in Electric Vehicles, Renewable Energy, Hydrogen, Energy Storage, Carbon, etc. Either enhancing energy effciency or reducing carbon emissions directly/indirectly.","Strategic connects, horizontal expansion, deep understanding of the space.",,,https://www.openvc.app/fund/Transition%20VC,venture-capital-firms
CARABELA,VC firm,"Argentina, Chile",$50k to $150k,"2. Prototype, 3. Early Revenue",Sometimes,We invest in early-stage startups led by entrepreneurs in LatAm.,,,,https://www.openvc.app/fund/CARABELA,venture-capital-firms
IPO Club,VC firm,"UK, USA",$25k to $2.5M,"3. Early Revenue, 2. Prototype",Sometimes,"We invest in five verticals: Payment and Money, AI and Software, Logistics and Mobility, Food and Housing, Energy and Defense.","With 6 unicorn IPOs on our track record and over 25 investments in total, we have a knowledge, skills and put in an incredible amount of work and network.",,,https://www.openvc.app/fund/IPO%20Club,venture-capital-firms
15th Rock,VC firm,"Canada, Japan",$100k to $5M,"3. Early Revenue, 4. Scaling",Sometimes,We invest in seed and pre-IPO stage companies.,,,,https://www.openvc.app/fund/15th%20Rock,venture-capital-firms
Plaza Ventures,VC firm,"Canada, USA",$1M to $15M,"4. Scaling, 5. Growth",Never,"We invest in growing B2B companies, connecting them with private capital.",,,,https://www.openvc.app/fund/Plaza%20Ventures,venture-capital-firms
Northcap,VC firm,"Denmark, Sweden",$100k to $5M,"3. Early Revenue, 4. Scaling",Sometimes,We invest in ICT companies.,,,,https://www.openvc.app/fund/Northcap,venture-capital-firms
Sparton Ventures,VC firm,"Australia, Canada",$500k to $1M,"1. Idea or Patent, 2. Prototype",Sometimes,"Our investment thesis is to promote human flourishing worldwide. We believe that these 4 focuses allow us to provide the most value to human existence: Energy, Compute, Food & Health","We bring a breadth of experience from operating as an advisory beforehand, which we look to foster in our companies in the future",,,https://www.openvc.app/fund/Sparton%20Ventures,venture-capital-firms
Primary Venture Pa...,VC firm,"Canada, Mexico",$100k to $5M,"2. Prototype, 3. Early Revenue",Sometimes,"We invest in seed stage enterprise SaaS, fintech, health, web3, developer tools, and e-commerce companies.",,,,https://www.openvc.app/fund/Primary%20Venture%20Partners,venture-capital-firms
